Date,Mkt_rf,Google_ex
200801,-6.36,-18.60243395
200802,-3.09,-16.63185777
200803,-0.93,-6.687682519
200804,4.6,30.20118434
200805,1.86,1.824217997
200806,-8.44,-10.30656582
200807,-0.77,-10.15532088
200808,1.53,-2.337913093
200809,-9.24,-13.6987517
200810,-17.23,-10.3566379
200811,-7.86,-18.50729047
200812,1.74,5.014332124
200901,-8.12,10.03737735
200902,-10.1,-0.169507409
200903,8.95,2.95937319
200904,10.19,13.75487341
200905,5.21,5.369091426
200906,0.43,1.034987479
200907,7.72,5.080250844
200908,3.33,4.192687704
200909,4.08,7.393557584
200910,-2.59,8.121402713
200911,5.56,8.74431488
200912,2.75,6.333054929
201001,-3.36,-14.52305326
201002,3.4,-0.592512637
201003,6.31,7.643757952
201004,2,-7.313577891
201005,-7.89,-7.632214833
201006,-5.56,-8.386744831
201007,6.93,8.957300596
201008,-4.77,-7.193668183
201009,9.54,16.8270377
201010,3.88,16.7095908
201011,0.6,-9.459240614
201012,6.82,6.874886248
201101,1.99,1.065813938
201102,3.49,2.162034572
201103,0.45,-4.353007395
201104,2.9,-7.270440049
201105,-1.27,-2.771548426
201106,-1.75,-4.279610214
201107,-2.36,19.21679473
201108,-5.99,-10.40109074
201109,-7.59,-4.79148788
201110,11.35,15.06679475
201111,-0.28,1.138971403
201112,0.74,7.759552784
201201,5.05,-10.18578561
201202,4.42,6.574612076
201203,3.11,3.718564512
201204,-0.85,-5.67493868
201205,-6.19,-3.976278508
201206,3.89,-0.136004899
201207,0.79,9.11958835
201208,2.55,8.224194936
201209,2.73,10.12151773
201210,-1.76,-9.844326912
201211,0.78,2.646178161
201212,1.18,1.280150787
201301,5.57,6.829424029
201302,1.29,6.022315395
201303,4.03,-0.874937969
201304,1.55,3.825279361
201305,2.8,5.657498235
201306,-1.2,1.050245853
201307,5.65,0.838288115
201308,-2.71,-4.601519721
201309,3.77,3.425434144
201310,4.18,17.65820457
201311,3.12,2.814913937
201312,2.81,5.768277018
201401,-3.32,5.37694281
201402,4.65,2.93657271
201403,0.43,-8.275088206
201404,-0.19,-5.441940898
201405,2.06,6.309577521
201406,2.61,2.748749897
201407,-2.04,-0.63968811
201408,4.24,0
201409,-1.97,1.007692909
201410,2.52,-3.166130487
201411,2.55,-3.085423906
201412,-0.06,-2.847757334
201501,-3.11,1.542555325
201502,6.13,4.467551592
201503,-1.12,-1.862463524
201504,0.59,-1.676039004
201505,1.36,-0.973320754
201506,-1.53,-2.179995739
201507,1.54,20.19172984
201508,-6.04,1.918127953
201509,-3.08,-4.578034016
201510,7.75,16.82883828
201511,0.56,4.472359434
201512,-2.17,2.18230131
201601,-5.77,-2.109145174
201602,-0.07,-6.101161757
201603,6.96,6.741538995
201604,0.92,-6.982280175
201605,1.78,6.152964515
201606,-0.05,-5.948885543
201607,3.95,11.06076935
201608,0.5,-0.246328393
201609,0.25,1.314983399
201610,-2.02,0.912727837
201611,4.86,-3.387775606
201612,1.81,1.787849902
201701,1.94,3.195206495
201702,3.57,3.27581028
201703,0.17,0.741367674
